time_stamp_millis,heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed
76021,91,98,97,3,32.1,235106,248579
76041,91,98,97,3,32.1,235106,248579
76061,91,98,97,3,32.1,235106,248579
76081,91,98,97,3,32.1,235106,248579
76101,91,98,97,3,32.1,235106,248579
76121,91,98,97,3,32.1,235106,248579
76141,91,98,97,3,32.1,235106,248579
76161,91,98,97,3,32.1,235106,248579
76181,91,98,97,3,32.1,235106,248579
76201,91,98,97,3,32.1,235106,248579
76221,91,98,97,3,32.1,235106,248579
76241,91,98,97,3,32.1,235106,248579
76261,91,98,97,3,32.1,235106,248579
76286,91,98,97,3,32.1,235106,248579
76315,15,98,97,3,32.1,235106,248579
76335,91,98,97,3,32.1,235106,248579
76355,91,98,97,3,32.1,235106,248579
76375,91,98,97,3,32.1,235106,248579
76395,91,98,97,3,32.1,235106,248579
76415,91,98,97,3,32.1,235106,248579
76435,91,98,97,3,32.1,235106,248579
76455,91,98,97,3,32.1,235106,248579
76475,91,98,97,3,32.1,235106,248579
76495,91,98,97,3,32.1,235106,248579
76515,91,98,97,3,32.1,235106,248579
76540,91,98,97,3,32.1,235106,248579
76560,91,98,97,3,32.1,235106,248579
76580,91,98,97,3,32.1,235106,248579
76600,91,98,97,3,32.1,235106,248579
76620,91,98,97,3,32.1,235106,248579
76640,91,98,97,3,32.1,235106,248579
76660,91,98,97,3,32.1,235106,248579
76680,91,98,97,3,32.1,235106,248579
76700,91,98,97,3,32.1,235106,248579
76720,91,98,97,3,32.1,235106,248579
76740,91,98,97,3,32.1,235106,248579
76760,91,98,97,3,32.1,235106,248579
76780,91,98,97,3,32.1,235106,249603
76800,91,98,97,3,32.1,235106,249603
76820,91,98,97,3,32.1,235106,249603
76840,91,98,97,3,32.1,235106,249603
76860,91,98,97,3,32.1,235106,249603
76880,91,98,97,3,32.1,235106,249603
76900,91,98,97,3,32.1,235106,249603
76920,91,98,97,3,32.1,235106,249603
76940,91,98,97,3,32.1,235106,249603
76960,91,98,97,3,32.1,235106,249603
76980,91,98,97,3,32.1,235106,249603
77000,91,98,97,3,33.1,235106,249603
77020,91,98,97,3,32.1,235106,249603
77040,91,98,97,3,32.1,235106,249603
77060,91,98,97,3,32.1,235106,249603
77080,91,98,97,3,32.1,235106,249603
77100,91,98,97,3,32.1,235106,249603
77120,91,98,97,3,32.1,235106,249603
77140,91,98,97,3,32.1,235106,249603
77160,91,98,97,3,32.1,235362,249603
77180,91,98,97,3,33.1,235362,249603
77200,91,98,97,3,32.1,235362,249347
77220,91,98,97,3,32.1,235362,249347
77240,91,98,97,3,32.1,235362,249347
77260,91,98,97,3,32.1,235362,249347
77280,91,98,97,3,32.1,235362,249347
77300,91,98,97,3,32.1,235362,249347
