heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed,,
0,0,0,1,31.1,0,1,,
0,0,0,1,30.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,30.1,0,1,,
0,0,0,1,30.1,0,1,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,30.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,30.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,2,31.1,0,2,,
0,0,0,2,31.1,0,2,,
0,0,0,2,31.1,0,2,,
0,0,0,2,31.1,0,2,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,1,31.1,0,1,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,2,32.1,0,3,,
0,0,0,2,31.1,0,2,,
0,0,0,2,31.1,0,2,,
0,0,0,2,31.1,0,2,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,3,31.1,0,3,,
0,0,0,2,32.1,0,2,,
0,0,0,2,32.1,0,2,,
0,0,0,2,32.1,0,2,,
0,0,0,2,31.1,0,2,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
0,0,0,3,32.1,0,3,,
